example_id,customer_message,brand_reply,difficulty,gold_intent,gold_should_escalate,gold_escalation_reason,gold_reply_quality,labelling_notes,annotation_status
2,"@115858 je fais comment si le truc tombe tout seul ? Je charge mon IPhone avec de la bonne volonté ? 12 % pour la nuit, allez salut. https://t.co/6gvXtHeB38",@361441 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,hard_complex,battery_and_charging,false,,4,French query regarding battery draining overnight to 12%; battery performance issue.,human_reviewed
7,@AppleSupport help,"@336760 Let's work to get that notification removed. Have you tried to restart your iPhone? If not, give that a try for us.",hard_short,general_inquiry_features,true,ambiguity_clarification,3,Customer said only 'help' without details; ambiguous query requiring escalation.,human_reviewed
8,@115858 @AppleSupport check after iOS11 if three finger zoom is being limited to only top half of screen? Any remedies? Or it’s my mistake?,@208018 We'd like to help. Which version of iOS 11 are you running? Are you having trouble moving the Zoom window?,hard_complex,general_inquiry_features,false,,4,Three-finger zoom accessibility feature confined to top of screen; accessibility UI feature inquiry.,human_reviewed
9,@AppleSupport hi it still didn’t help. it said cannot be back up due to storage full but i just upgraded. you can refer the picture https://t.co/EdpqWdpnva,@489252 Let's move over to DM so we may continue looking into this. https://t.co/GDrqU22YpT,standard,apple_id_and_icloud,false,,4,iCloud backup storage full error after purchasing storage upgrade; account storage discrepancy.,human_reviewed
12,The IOS has fully fucked up my phone. Cheers @AppleSupport,@359424 Hey there. We'd like to help out with your iPhone. Can you tell us a little more about what's going on with it?,edge_case,complaint_and_frustration,true,profanity_or_abuse,3,Aggressive rant with profanity claiming iOS ruined phone; escalation for customer de-escalation.,human_reviewed
23,@AppleSupport Dont understand the kind of a OS release to the users which makes the phone completely unusable. #iOS111 testing directly done in prod env,@591015 Let us help troubleshoot your iPhone. Reach out to us in DM with more details about your device and we'll go from there. https://t.co/GDrqU22YpT,standard,software_update_os,false,,4,Customer dissatisfied with iOS 11.1 stability comparing it to testing in production; OS update stability.,human_reviewed
24,"@AppleSupport Ok 
iOS 11.1.1","@757899 If it's still not showing after restarting, let's go ahead and update to iOS 11.1.2 and see if the badge shows up. You'd want to make sure to make a backup before updating. You can see how to back up and update here: https://t.co/80YRnjDFDk",hard_short,software_update_os,true,ambiguity_clarification,5,Customer provides version number 'Ok iOS 11.1.1'; thread continuation.,human_reviewed
25,@AppleSupport yo everything is wrong with my phone since the new update!!!!!,"@546544 We want to do everything we can to help you.  Which iPhone are you using, and exact iOS version?  Please respond in DM https://t.co/GDrqU22YpT",standard,software_update_os,false,,4,Complaint that everything is wrong since new update; software update stability issue.,human_reviewed
27,@AppleSupport  https://t.co/qoZItuDQLE,@169780 The following link can help with deactivating Low Power Mode. https://t.co/VL4rj2Mts7 If you have any questions send us a DM. https://t.co/GDrqU22YpT,hard_short,battery_and_charging,false,,4,Screenshot showing Low Power Mode alert; power management / battery settings.,human_reviewed
29,@AppleSupport is this happening to anyone? Like the notification it’s out of setting https://t.co/J0Qbdc7Mz1,@819568 Thanks for reaching out to us. Let's work together to resolve this. We'll gather some details to help isolate the cause of this issue. Which iOS version do you have? When did this issue start?,standard,general_inquiry_features,false,,4,Notification badge visual glitch in Settings layout; graphical UI glitch.,human_reviewed
