calibration_id,system,customer_message,generated_reply,human_relevance,human_groundedness,human_helpfulness,human_tone,human_completeness,human_overall,notes
1,main,@AppleSupport 7 plus. Version 11.0,@customer Thanks for reaching out. Let’s look into this further via DM. Please share your country and any update steps you’ve tried. https://t.co/GDrqU22YpT ^AS,,,,,,,
2,main,Damn you @115858 and this stupid update making me look stupid in a moment of crisis I️ hate this I️ am triggered,@customer Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,,,,,
3,main,@AppleSupport iOS 11,"@AppleSupport Which device are you using? If you haven’t already, try restarting it and then check for updates: https://t.co/xOrdgHyyiA. Let us know how it goes! ^AS",,,,,,,
4,main,@AppleSupport After the update,"@customer Thanks for the info. Which iOS version do you have installed? If you need help troubleshooting, DM us so we can assist you further. https://t.co/GDrqU22YpT ^XX",,,,,,,
5,main,"@AppleSupport Gracias, @AppleSupport.","@customer Thanks for reaching out! If you have any questions or need help with your Apple product, feel free to DM us for personalized support. ^AS",,,,,,,
6,main,@115858 can you please fix this battery issue with iOS 11 because this i just watched my phone go from 66% to 49% in he span of 12 mins,@115858 We’re sorry to hear about the battery drop. Let’s look into it together. Please DM us so we can gather more details and find a solution. https://t.co/GDrqU22YpT ^XX,,,,,,,
7,main,Also fix the thing where i is a block with a question mark. Thanks @115858,"@customer There’s a recent update that fixes the “i” block issue. Make sure you’re on the latest iOS version and back up your device first. If it still appears, DM us for a quick fix. ^AS",,,,,,,
8,main,@AppleSupport My name is razz chakroborty (+91 705308855) i was using a apple i phone 6S. Yesterday 5.15 to 5.30 pm i lost my Phone so need your Support to find my phone my apple id is __email__ emi id is __credit_card__.i done the FIR. Plz help ME.,@razzchakroborty We’re sorry to hear about your lost iPhone. Please DM us with your Apple ID and the details of the FIR so we can guide you through Find My iPhone and any further steps. https://t.co/GDrqU22Yp^AS,,,,,,,
9,main,@AppleSupport 11.1.1,@customer Thanks for the info! Let’s dive deeper. Please DM us so we can help you further. https://t.co/GDrqU22YpT ^XX,,,,,,,
10,main,"@AppleSupport Next chance I get to backup my phone using #iTunes I will do just that. Still, it’s a touch screen with no buttons. Very disconcerting that it would suddenly become almost completely without response.","@customer We’re sorry you’re experiencing touch‑screen issues. Try a hard reset: hold the Side button + Volume‑down until the Apple logo appears. If that doesn’t help, check for iOS updates in Settings > General > Software Update. Need more help? DM us. https://t.co/GDrqU22YpT",,,,,,,
11,main,As much as I love @115858 I’m about to switch... my @118721 account has been hacked for MONTHS!! I’m so pissed. So much money stolen.,@customer We’re really sorry to hear about the security breach. Please DM us your Apple ID and the last time you logged in so we can start a recovery process. We’ll help you secure your account and recover any lost funds. ^AS,,,,,,,
12,main,"Why the hell is IPhone changing “I️” to a question mark?? 
@115858 get your sh*t together this is annoying","@customer We’re sorry for the glitch. Please DM us your iPhone model and iOS version so we can help resolve the “I” → “?” issue. In the meantime, try updating to the latest iOS if you haven’t already. https://t.co/GDrqU22YpT ^AS",,,,,,,
13,main,@AppleSupport Which will be 3 weeks time so no other way to update unless through WiFi???,"@customer Thanks for reaching out. If you’re on a cellular plan, you can still download the update over cellular—just enable “Allow Cellular Data” for Software Update in Settings > General > Software Update. For more help, DM us. ^AA",,,,,,,
14,main,@AppleSupport 11.0.3,@customer Thanks for the info! Let’s get this sorted—please DM us so we can help you further. https://t.co/GDrqU22YpT ^XX,,,,,,,
15,main,@115858 fix this 🤢 https://t.co/6JHlM0uODC,"@115858 We’re on it! Here’s a quick fix you can try right now: https://t.co/xXaXeeSRt9. If that doesn’t solve it, DM us with a screenshot and we’ll dive deeper. ^AS",,,,,,,
16,main,"Trying to message her I love her and that I want her to call me. I’m worried she may hurt herself. WTF, @115858 https://t.co/H7yR5v60BO","@customer We’re sorry you’re feeling this way. If you’re concerned about someone’s safety, please contact local emergency services or a trusted professional right away. For Apple‑related help, DM us with details. ^AS",,,,,,,
