example_id,customer_message,brand_reply,difficulty,gold_intent,gold_should_escalate,gold_escalation_reason,gold_reply_quality,labelling_notes,annotation_status
1,@AppleSupport iOS 11,@312166 Got it. Please send us a DM to continue: https://t.co/GDrqU22YpT,hard_short,software_update_os,false,,4,OS update or version-related issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
2,"@115858 je fais comment si le truc tombe tout seul ? Je charge mon IPhone avec de la bonne volonté ? 12 % pour la nuit, allez salut. https://t.co/6gvXtHeB38",@361441 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,hard_complex,general_inquiry_features,false,,4,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
3,"@AppleSupport I did that. It kept restarting itself. So I pressed ctrl, Cmd &amp; R and pressed reinstall os. And the whole process has started again. Was this correct?","@680790 Did the OS successfully install? If not, send us a DM and we'll look at our options. https://t.co/GDrqU22YpT",standard,device_performance_freeze,false,,4,"System performance, crash, or freeze issue | heuristic pre-label from scripts/label_golden_set.py",human_reviewed
4,@AppleSupport iOS 10.3.1,"@474975 Since you're not receiving the iOS 11 update, have you had the chance to review the steps here: https://t.co/80YRnjDFDk",hard_short,software_update_os,false,,5,OS update or version-related issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
5,Also fix the thing where i is a block with a question mark. Thanks @115858,"@650802 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to the latest version iOS 11.1.1. For more info, check out: https://t.co/xXaXeeSRt9",standard,general_inquiry_features,false,,5,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
6,@AppleSupport says my icloud is unavailable when i try to turn it on,"@756459 We appreciate that screenshot, it's very helpful. For this particular issue, we'll need to have you get in touch with our wonderful iTunes Store Advisors. They can be reached using this link:  https://t.co/SDIe7UA9Bl https://t.co/GDrqU2kzhr",standard,apple_id_and_icloud,false,,4,Account security/iCloud/credential inquiry | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
7,@AppleSupport help,"@336760 Let's work to get that notification removed. Have you tried to restart your iPhone? If not, give that a try for us.",hard_short,general_inquiry_features,true,ambiguity_clarification,4,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
8,@115858 @AppleSupport check after iOS11 if three finger zoom is being limited to only top half of screen? Any remedies? Or it’s my mistake?,@208018 We'd like to help. Which version of iOS 11 are you running? Are you having trouble moving the Zoom window?,hard_complex,hardware_and_audio,false,,2,"Physical hardware, screen, or audio problem | heuristic pre-label from scripts/label_golden_set.py",human_reviewed
9,@AppleSupport hi it still didn’t help. it said cannot be back up due to storage full but i just upgraded. you can refer the picture https://t.co/EdpqWdpnva,@489252 Let's move over to DM so we may continue looking into this. https://t.co/GDrqU22YpT,standard,software_update_os,false,,4,OS update or version-related issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
10,"@115858  @AppleSupport @11676 Version 11.0.3(15A432). 
iPhone 5S. Though I switch OFF Wifi/Bluetooth/Mobile Internet in Control Center, they remain ON inside Settings. I should go to Settings each time &amp; switch them OFF. Please help.",@726044 Thank you for getting in touch with us today. We understand you'd like to turn off these settings in Control Center. This is expected behavior in iOS 11. More information about the change is here: https://t.co/vzVz37YMv0,hard_complex,connectivity_and_network,false,,5,Wireless/network connectivity issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
11,I’ve updated everything and finally caved in to pay for more storage and I still see boxes 🤦🏾‍♀️ why @115858 ??? #AppleUpdate 😭😭,@481411 We think this might help with that: https://t.co/xU1AGHStV6,hard_complex,software_update_os,false,,4,OS update or version-related issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
12,The IOS has fully fucked up my phone. Cheers @AppleSupport,@359424 Hey there. We'd like to help out with your iPhone. Can you tell us a little more about what's going on with it?,edge_case,complaint_and_frustration,true,profanity_or_abuse,2,Customer venting dissatisfaction/frustration | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
13,"@AppleSupport hi, I'd forgotten my password, did the recover, got message saying reset next day at 7pm. Day passed no reset info?!??",@286166 You'll find more info concerning account recovery here: https://t.co/nXAGZj0EE7,hard_complex,apple_id_and_icloud,false,,4,Account security/iCloud/credential inquiry | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
14,"Do the fingerprint readers on iphones just all of a sudden stop reading right? Already had a defective antenna, now home button is being buggy in under a year of having it..... I love apple but holy shit I'm getting fed up. @AppleSupport","@365731 Let’s work together on this situation with your Home button. How long have you been experiencing this behavior? Does this happen consistently, or only sometimes? Which version of iOS are you using? This article covers how to check on that: https://t.co/ZTw54HL4Rm",edge_case,complaint_and_frustration,true,profanity_or_abuse,5,Customer venting dissatisfaction/frustration | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
15,Every time I try to verify my @115948 student membership it wont let me because I haven’t gotten an email. Suggestions?? @AppleSupport,"@324668 We want to help. For membership issues, use this guide: https://t.co/ovhvOGgQpP Go to ""Get help with your UNiDAYS account""",hard_complex,general_inquiry_features,false,,4,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
16,I hate you @115858 https://t.co/K6ekLkPoUT,@273668 We're here to help. Check out this link for guidance: https://t.co/usOJWy6ChP,hard_short,complaint_and_frustration,false,,4,Customer venting dissatisfaction/frustration | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
17,Can you guys explain me why the “I” don’t work anymore @115858 ?? I’m getting frustrated 🙄🙄🙄,@374459 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT,hard_complex,general_inquiry_features,false,,5,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
18,"@AppleSupport Gracias, @AppleSupport.",@618643 You're welcome. Let us know if you need any further help.,hard_short,general_inquiry_features,true,ambiguity_clarification,2,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
19,"@AppleSupport 
Hello, there is serious problem in iOS 11.1 and iOS 11.1.1
hundreds, maybe thousands of iPhones in our region are restarting by itself and stuck on apple logo
we have to restore it with recovery or back to iOS 11.0.3 to fix it
please take it seriously and solve it",@683400 We'd be happy to assist. We know how important it is to be able to rely on your iPhone. Can you DM us the iPhone model you are using and what country you are in? https://t.co/GDrqU22YpT,hard_complex,software_update_os,false,,4,OS update or version-related issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
20,@AppleSupport 11.1,@123519 DM us using the link below. We'll look into things from there. https://t.co/GDrqU2kzhr,hard_short,general_inquiry_features,true,ambiguity_clarification,4,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
21,Hey @AppleSupport I’m sending you screen shots of every screwed up autocorrect. It’s been terrible since the last update.,@220762 We know how important it is to have your keyboard to work as expected. We'd be happy to look into this with you. Can you provide us details of your autocorrect issue?,standard,software_update_os,false,,2,OS update or version-related issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
22,"@AppleSupport how long to wait for a fix that will fix the battery discharge? I can’t use my phone normally and I can’t return to iOS 10.3.3 WHY, APPLE??",@420001 We know how vital your battery is. Let's work on this together. Is your device updated to iOS 11.0.3?,hard_complex,battery_and_charging,false,,4,Battery/charging/power related issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
23,@AppleSupport Dont understand the kind of a OS release to the users which makes the phone completely unusable. #iOS111 testing directly done in prod env,@591015 Let us help troubleshoot your iPhone. Reach out to us in DM with more details about your device and we'll go from there. https://t.co/GDrqU22YpT,standard,general_inquiry_features,false,,4,General feature inquiry or guidance request | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
24,"@AppleSupport Ok 
iOS 11.1.1","@757899 If it's still not showing after restarting, let's go ahead and update to iOS 11.1.2 and see if the badge shows up. You'd want to make sure to make a backup before updating. You can see how to back up and update here: https://t.co/80YRnjDFDk",hard_short,software_update_os,false,,5,OS update or version-related issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
25,@AppleSupport yo everything is wrong with my phone since the new update!!!!!,"@546544 We want to do everything we can to help you.  Which iPhone are you using, and exact iOS version?  Please respond in DM https://t.co/GDrqU22YpT",standard,software_update_os,false,,4,OS update or version-related issue | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
26,"@115858 i’m really fuckin tired of the games, fix this shit NOW","@711877 We're here for you, and you have our commitment to help look into what's going on, so we can offer a relevant solution. Meet us in DM where we can learn more. https://t.co/GDrqU22YpT",edge_case,complaint_and_frustration,true,profanity_or_abuse,4,Customer venting dissatisfaction/frustration | heuristic pre-label from scripts/label_golden_set.py,human_reviewed
