example_id,customer_message,brand_reply,difficulty,gold_intent,gold_should_escalate,gold_escalation_reason,gold_reply_quality,labelling_notes,annotation_status
1,@AppleSupport iOS 11,@312166 Got it. Please send us a DM to continue: https://t.co/GDrqU22YpT,hard_short,software_update_os,true,ambiguity_clarification,3,Customer gave bare version 'iOS 11'; ambiguous one-liner requiring diagnostic clarification.,human_reviewed
2,"@115858 je fais comment si le truc tombe tout seul ? Je charge mon IPhone avec de la bonne volonté ? 12 % pour la nuit, allez salut. https://t.co/6gvXtHeB38",@361441 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,hard_complex,battery_and_charging,false,,4,French query describing device not holding battery charge ('12% pour la nuit'); primary issue is battery. Brand politely redirects to French portal.,human_reviewed
3,"@AppleSupport I did that. It kept restarting itself. So I pressed ctrl, Cmd &amp; R and pressed reinstall os. And the whole process has started again. Was this correct?","@680790 Did the OS successfully install? If not, send us a DM and we'll look at our options. https://t.co/GDrqU22YpT",standard,device_performance_freeze,false,,4,Boot loop / continuous restart during OS reinstall; device performance and stability issue.,human_reviewed
4,@AppleSupport iOS 10.3.1,"@474975 Since you're not receiving the iOS 11 update, have you had the chance to review the steps here: https://t.co/80YRnjDFDk",hard_short,software_update_os,true,ambiguity_clarification,4,Customer stated only 'iOS 10.3.1'; under-specified version string. Brand helpfully provides iOS 11 update guide.,human_reviewed
5,Also fix the thing where i is a block with a question mark. Thanks @115858,"@650802 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to the latest version iOS 11.1.1. For more info, check out: https://t.co/xXaXeeSRt9",standard,general_inquiry_features,false,,5,Widely reported iOS autocorrect bug where typing 'i' renders a box with question mark; keyboard feature glitch. Brand links to iOS 11.1.1 update.,human_reviewed
6,@AppleSupport says my icloud is unavailable when i try to turn it on,"@756459 We appreciate that screenshot, it's very helpful. For this particular issue, we'll need to have you get in touch with our wonderful iTunes Store Advisors. They can be reached using this link:  https://t.co/SDIe7UA9Bl https://t.co/GDrqU2kzhr",standard,apple_id_and_icloud,false,,4,iCloud activation/sync error ('icloud is unavailable'); account services. Brand routes to iTunes Store Advisors.,human_reviewed
7,@AppleSupport help,"@336760 Let's work to get that notification removed. Have you tried to restart your iPhone? If not, give that a try for us.",hard_short,general_inquiry_features,true,ambiguity_clarification,3,Single word 'help' without details; mandatory escalation for clarification.,human_reviewed
8,@115858 @AppleSupport check after iOS11 if three finger zoom is being limited to only top half of screen? Any remedies? Or it’s my mistake?,@208018 We'd like to help. Which version of iOS 11 are you running? Are you having trouble moving the Zoom window?,hard_complex,general_inquiry_features,false,,4,Three-finger zoom accessibility feature confined to top of screen; accessibility UI feature inquiry.,human_reviewed
9,@AppleSupport hi it still didn’t help. it said cannot be back up due to storage full but i just upgraded. you can refer the picture https://t.co/EdpqWdpnva,@489252 Let's move over to DM so we may continue looking into this. https://t.co/GDrqU22YpT,standard,apple_id_and_icloud,false,,4,iCloud backup storage full error after purchasing storage upgrade; account storage discrepancy.,human_reviewed
10,"@115858  @AppleSupport @11676 Version 11.0.3(15A432). 
iPhone 5S. Though I switch OFF Wifi/Bluetooth/Mobile Internet in Control Center, they remain ON inside Settings. I should go to Settings each time &amp; switch them OFF. Please help.",@726044 Thank you for getting in touch with us today. We understand you'd like to turn off these settings in Control Center. This is expected behavior in iOS 11. More information about the change is here: https://t.co/vzVz37YMv0,hard_complex,connectivity_and_network,false,,5,Inquiring why Wi-Fi and Bluetooth remain active in Settings despite toggling off in Control Center; connectivity design change in iOS 11.,human_reviewed
11,I’ve updated everything and finally caved in to pay for more storage and I still see boxes 🤦🏾‍♀️ why @115858 ??? #AppleUpdate 😭😭,@481411 We think this might help with that: https://t.co/xU1AGHStV6,hard_complex,general_inquiry_features,false,,4,Frustration with autocorrect symbol box glitch continuing after storage payment; primary technical complaint is the keyboard symbol glitch.,human_reviewed
12,The IOS has fully fucked up my phone. Cheers @AppleSupport,@359424 Hey there. We'd like to help out with your iPhone. Can you tell us a little more about what's going on with it?,edge_case,complaint_and_frustration,true,profanity_or_abuse,3,Severe frustration rant with profanity ('fully fucked up my phone') and no specific diagnostic technical description; human de-escalation required.,human_reviewed
13,"@AppleSupport hi, I'd forgotten my password, did the recover, got message saying reset next day at 7pm. Day passed no reset info?!??",@286166 You'll find more info concerning account recovery here: https://t.co/nXAGZj0EE7,hard_complex,apple_id_and_icloud,true,account_security,4,Account recovery delay after forgotten password; account security escalation.,human_reviewed
14,"Do the fingerprint readers on iphones just all of a sudden stop reading right? Already had a defective antenna, now home button is being buggy in under a year of having it..... I love apple but holy shit I'm getting fed up. @AppleSupport","@365731 Let’s work together on this situation with your Home button. How long have you been experiencing this behavior? Does this happen consistently, or only sometimes? Which version of iOS are you using? This article covers how to check on that: https://t.co/ZTw54HL4Rm",edge_case,hardware_and_audio,false,,4,"Precedence rule: expresses frustration with profanity ('holy shit'), but specifically complains about defective antenna and Touch ID home button hardware.",human_reviewed
15,Every time I try to verify my @115948 student membership it wont let me because I haven’t gotten an email. Suggestions?? @AppleSupport,"@324668 We want to help. For membership issues, use this guide: https://t.co/ovhvOGgQpP Go to ""Get help with your UNiDAYS account""",hard_complex,billing_and_subscriptions,false,,4,UNiDAYS Apple Music student membership verification email delivery failure; subscription eligibility issue.,human_reviewed
